task_id,assigned_vm,confidence
unknown,0,1.0
unknown,0,1.0
unknown,0,1.0
unknown,0,1.0
unknown,0,1.0
unknown,0,1.0
unknown,0,1.0
unknown,0,1.0
unknown,0,1.0
unknown,0,1.0
unknown,0,1.0
unknown,0,1.0
unknown,0,1.0
unknown,0,1.0
unknown,0,1.0
unknown,0,1.0
unknown,0,1.0
unknown,0,1.0
unknown,0,1.0
unknown,0,1.0
unknown,0,1.0
unknown,0,1.0
unknown,0,1.0
unknown,0,1.0
unknown,0,1.0
unknown,0,0.9999954700469971
unknown,0,0.999988317489624
unknown,0,1.0
unknown,0,0.9661063551902771
unknown,0,0.9999979734420776
unknown,0,0.995515763759613
unknown,0,0.12458628416061401
unknown,0,0.22835616767406464
unknown,0,0.2748255729675293
unknown,0,0.12616482377052307
unknown,0,0.2221277356147766
unknown,0,0.14298015832901
unknown,0,0.8945016860961914
unknown,0,0.8774305582046509
unknown,0,0.13629049062728882
unknown,0,0.1361977607011795
unknown,0,0.999761164188385
unknown,0,0.13909155130386353
unknown,0,0.14317166805267334
unknown,0,0.14088492095470428
unknown,0,0.12634100019931793
unknown,0,0.5825830101966858
unknown,0,0.5823156237602234
unknown,0,1.0
unknown,0,0.5910912752151489
unknown,0,0.13206836581230164
unknown,0,0.1188294067978859
unknown,0,0.12757925689220428
unknown,0,0.3208685517311096
unknown,0,0.303305983543396
unknown,0,0.9893704652786255
unknown,0,1.0
unknown,0,0.1910788118839264
unknown,0,0.25679993629455566
unknown,0,0.5729031562805176
unknown,0,0.23529142141342163
unknown,0,0.12164148688316345
unknown,0,0.12882573902606964
unknown,0,0.12095561623573303
unknown,0,0.12044297903776169
unknown,8,0.11585632711648941
unknown,0,0.1210412085056305
unknown,0,0.9099560379981995
unknown,0,0.23629024624824524
unknown,0,0.23641525208950043
unknown,0,0.12467364221811295
unknown,0,0.2502208352088928
unknown,0,0.147719144821167
unknown,0,0.2012632191181183
unknown,0,0.18542301654815674
unknown,0,0.1270475834608078
unknown,0,0.11840727925300598
unknown,8,0.11585632711648941
unknown,0,0.12900441884994507
unknown,0,0.3618532121181488
unknown,0,0.1428845077753067
unknown,0,0.1176500916481018
unknown,0,0.12198545783758163
unknown,0,0.12757925689220428
unknown,0,0.12793457508087158
unknown,0,0.11790212988853455
unknown,0,0.6989162564277649
unknown,0,0.16221816837787628
unknown,0,0.1334354728460312
unknown,0,0.21934662759304047
unknown,8,0.11585632711648941
unknown,0,0.12590080499649048
unknown,0,0.1262529045343399
unknown,0,0.5746593475341797
unknown,0,0.5746593475341797
unknown,0,0.9997766613960266
unknown,0,0.11798620969057083
unknown,0,1.0
unknown,8,0.11585632711648941
unknown,0,0.12713611125946045
unknown,0,0.12766803801059723
unknown,0,0.12198545783758163
unknown,0,0.18307623267173767
unknown,0,0.12963129580020905
unknown,0,0.12258893996477127
unknown,0,0.1210412085056305
unknown,0,0.23379701375961304
unknown,0,0.16461239755153656
unknown,0,0.9994004964828491
unknown,0,0.1338932365179062
unknown,0,0.19085073471069336
unknown,0,0.20456387102603912
unknown,0,0.16450782120227814
unknown,0,0.12121251225471497
unknown,0,0.22565892338752747
unknown,0,0.11581334471702576
unknown,0,1.0
unknown,0,0.13426020741462708
unknown,0,0.5471285581588745
unknown,0,0.15902520716190338
unknown,0,0.1382472813129425
unknown,0,0.1325230598449707
unknown,0,0.6482668519020081
unknown,0,0.11798620969057083
unknown,0,0.12138399481773376
unknown,0,0.9993683695793152
unknown,0,0.9993377327919006
unknown,0,0.31366726756095886
unknown,8,0.11585632711648941
unknown,0,0.1235414519906044
unknown,0,0.12598873674869537
unknown,0,0.16840265691280365
unknown,0,0.2745579779148102
unknown,0,0.9728260636329651
unknown,0,0.9142879843711853
unknown,0,0.11925257742404938
unknown,0,0.12001688778400421
unknown,0,0.11950697004795074
unknown,0,0.15841180086135864
unknown,0,0.20456387102603912
unknown,0,0.12258893996477127
unknown,0,0.2570595145225525
unknown,0,0.12293470650911331
unknown,0,0.25667041540145874
unknown,0,0.11681272834539413
unknown,0,0.135272815823555
unknown,0,0.12891505658626556
unknown,0,0.21181999146938324
unknown,0,0.1291833370923996
unknown,0,0.9990744590759277
unknown,0,0.13361842930316925
unknown,0,0.13325265049934387
unknown,0,0.9910308122634888
unknown,0,0.12740185856819153
unknown,0,0.9985755681991577
unknown,0,0.13638322055339813
unknown,0,0.13834095001220703
unknown,0,0.3673933744430542
unknown,0,0.396150678396225
unknown,0,0.5887078642845154
unknown,0,1.0
unknown,0,0.8260818123817444
unknown,0,0.12882573902606964
unknown,0,0.1418347805738449
unknown,0,0.13909155130386353
unknown,0,0.1400335282087326
unknown,0,0.19142132997512817
unknown,0,1.0
unknown,8,0.11585632711648941
unknown,0,0.1255493313074112
unknown,0,0.12598873674869537
unknown,0,0.135272815823555
unknown,0,0.13582727313041687
unknown,0,0.911373496055603
unknown,0,0.13684767484664917
unknown,0,0.13582727313041687
unknown,0,0.12811245024204254
unknown,0,0.21158316731452942
unknown,0,0.12607677280902863
unknown,0,0.648388147354126
unknown,0,0.1982239931821823
unknown,0,0.12484840303659439
unknown,0,0.1255493313074112
unknown,0,0.24245081841945648
unknown,0,0.12846876680850983
