name,cpu_milli,memory_mib,num_gpu,gpu_milli,gpu_spec,qos,pod_phase,creation_time,deletion_time,scheduled_time,source_file
openb-pod-5125,3152,5600,1,810,,BE,Failed,12011032,12011317,12011032.0,openb_pod_list_gpuspec33.csv
openb-pod-5126,3152,5600,1,810,T4,BE,Failed,12011501,12011745,12011501.0,openb_pod_list_gpuspec33.csv
openb-pod-5127,4000,24576,1,1000,,LS,Succeeded,12011514,12011966,12011514.0,openb_pod_list_gpuspec33.csv
openb-pod-5128,4000,16384,1,1000,,LS,Pending,12011543,12011646,,openb_pod_list_gpuspec33.csv
openb-pod-5129,3152,5600,1,590,,BE,Failed,12011591,12011701,12011591.0,openb_pod_list_gpuspec33.csv
openb-pod-5130,11300,49152,1,1000,,LS,Running,12011592,12011905,12011594.0,openb_pod_list_gpuspec33.csv
openb-pod-5131,12000,24576,1,1000,,Burstable,Succeeded,12011675,12086315,12011675.0,openb_pod_list_gpuspec33.csv
openb-pod-5132,18708,64512,1,1000,G2,LS,Running,12011768,12012759,12011769.0,openb_pod_list_gpuspec33.csv
openb-pod-5133,18708,64512,1,1000,,LS,Running,12011810,12013052,12011812.0,openb_pod_list_gpuspec33.csv
openb-pod-5134,3152,5600,1,810,T4,BE,Failed,12011854,12012128,12011854.0,openb_pod_list_gpuspec33.csv
openb-pod-5135,18708,64512,1,1000,,LS,Running,12011922,12012584,12011923.0,openb_pod_list_gpuspec33.csv
openb-pod-5136,11300,49152,1,1000,,LS,Running,12012178,12013249,12012180.0,openb_pod_list_gpuspec33.csv
openb-pod-5137,11300,49152,1,1000,,LS,Running,12012218,12014134,12012220.0,openb_pod_list_gpuspec33.csv
openb-pod-5138,11300,49152,1,1000,T4,LS,Running,12012253,12013261,12012603.0,openb_pod_list_gpuspec33.csv
openb-pod-5139,3152,5600,1,810,T4,BE,Failed,12012507,12012913,12012612.0,openb_pod_list_gpuspec33.csv
openb-pod-5140,3152,5600,1,810,,BE,Failed,12012666,12012898,12012666.0,openb_pod_list_gpuspec33.csv
openb-pod-5141,11908,47104,1,470,T4,LS,Pending,12013113,12013211,,openb_pod_list_gpuspec33.csv
openb-pod-5142,11908,47104,1,470,,LS,Pending,12013115,12013213,,openb_pod_list_gpuspec33.csv
openb-pod-5143,3152,5600,1,810,,BE,Failed,12013240,12014557,12013240.0,openb_pod_list_gpuspec33.csv
openb-pod-5144,11300,49152,1,1000,,LS,Running,12013462,12014053,12013464.0,openb_pod_list_gpuspec33.csv
openb-pod-5145,11300,49152,1,1000,,LS,Running,12013489,12013965,12013492.0,openb_pod_list_gpuspec33.csv
openb-pod-5146,11300,49152,1,1000,,LS,Running,12013497,12013965,12013533.0,openb_pod_list_gpuspec33.csv
openb-pod-5147,11300,49152,1,1000,V100M16|V100M32,LS,Pending,12014160,12014187,,openb_pod_list_gpuspec33.csv
openb-pod-5148,14200,58368,1,1000,,LS,Running,12014219,12014938,12014253.0,openb_pod_list_gpuspec33.csv
openb-pod-5149,3152,5600,1,810,,BE,Failed,12014272,12014488,12014272.0,openb_pod_list_gpuspec33.csv
openb-pod-5150,3152,5600,1,810,,BE,Failed,12014383,12014557,12014383.0,openb_pod_list_gpuspec33.csv
openb-pod-5151,8000,30517,1,470,P100,BE,Pending,12014384,12014540,,openb_pod_list_gpuspec33.csv
openb-pod-5152,3152,5600,1,590,P100,BE,Failed,12014525,12014540,12014525.0,openb_pod_list_gpuspec33.csv
openb-pod-5153,3152,5600,1,810,,BE,Failed,12014573,12017820,12014578.0,openb_pod_list_gpuspec33.csv
openb-pod-5154,8000,30517,1,470,,BE,Running,12015317,12025246,12015728.0,openb_pod_list_gpuspec33.csv
openb-pod-5155,11300,49152,1,1000,G2,LS,Running,12015653,12015748,12015688.0,openb_pod_list_gpuspec33.csv
openb-pod-5156,18708,64512,1,1000,,LS,Running,12016061,12016186,12016133.0,openb_pod_list_gpuspec33.csv
openb-pod-5157,11300,49152,1,1000,G2,LS,Running,12017295,12019381,12017329.0,openb_pod_list_gpuspec33.csv
openb-pod-5158,11300,49152,1,1000,V100M16|V100M32,LS,Running,12017432,12019348,12017435.0,openb_pod_list_gpuspec33.csv
openb-pod-5159,11300,49152,1,1000,,LS,Running,12017815,12018860,12017817.0,openb_pod_list_gpuspec33.csv
openb-pod-5160,11300,49152,1,1000,T4,LS,Running,12017822,12019298,12017823.0,openb_pod_list_gpuspec33.csv
openb-pod-5161,11300,49152,1,1000,,LS,Running,12019932,12020092,12019933.0,openb_pod_list_gpuspec33.csv
openb-pod-5162,18708,64512,1,1000,,LS,Pending,12020112,12020143,,openb_pod_list_gpuspec33.csv
openb-pod-5163,16000,32768,1,1000,T4,LS,Succeeded,12021178,12024789,12021178.0,openb_pod_list_gpuspec33.csv
openb-pod-5164,12500,57344,0,0,,LS,Running,12021268,12021533,12021271.0,openb_pod_list_gpuspec33.csv
openb-pod-5165,12500,57344,0,0,,LS,Pending,12021381,12021470,,openb_pod_list_gpuspec33.csv
openb-pod-5166,11300,49152,1,1000,,LS,Running,12021668,12022622,12021705.0,openb_pod_list_gpuspec33.csv
openb-pod-5167,11300,49152,1,1000,,LS,Running,12021693,12022692,12021729.0,openb_pod_list_gpuspec33.csv
openb-pod-5168,11300,49152,1,1000,,LS,Running,12021766,12022667,12021770.0,openb_pod_list_gpuspec33.csv
openb-pod-5169,12000,24576,1,1000,,LS,Succeeded,12021878,12021903,12021878.0,openb_pod_list_gpuspec33.csv
openb-pod-5170,11300,49152,1,1000,,LS,Running,12022838,12023097,12022839.0,openb_pod_list_gpuspec33.csv
openb-pod-5171,11300,49152,1,1000,,LS,Running,12022866,12023097,12022869.0,openb_pod_list_gpuspec33.csv
openb-pod-5172,11300,49152,1,1000,,LS,Running,12022913,12023117,12022915.0,openb_pod_list_gpuspec33.csv
openb-pod-5173,4000,32768,1,1000,,LS,Running,12023918,12025983,12024307.0,openb_pod_list_gpuspec33.csv
openb-pod-5174,12000,15360,1,1000,,LS,Running,12023920,12086256,12024093.0,openb_pod_list_gpuspec33.csv
openb-pod-5175,12000,16384,1,1000,G2|P100|T4|V100M16|V100M32,LS,Running,12024110,12539673,12024803.0,openb_pod_list_gpuspec33.csv
openb-pod-5176,18708,64512,1,1000,T4,LS,Running,12024299,12024340,12024301.0,openb_pod_list_gpuspec33.csv
openb-pod-5177,12500,57344,0,0,,LS,Running,12024302,12024603,12024338.0,openb_pod_list_gpuspec33.csv
openb-pod-5178,12500,57344,0,0,,LS,Running,12024305,12024886,12024340.0,openb_pod_list_gpuspec33.csv
openb-pod-5179,12500,57344,0,0,,LS,Running,12024331,12024609,12024333.0,openb_pod_list_gpuspec33.csv
openb-pod-5180,8000,30517,1,470,T4,BE,Running,12024333,12024727,12024574.0,openb_pod_list_gpuspec33.csv
openb-pod-5181,3152,5600,1,810,,BE,Failed,12024449,12025392,12024449.0,openb_pod_list_gpuspec33.csv
openb-pod-5182,11300,49152,1,1000,T4,LS,Running,12024484,12025051,12024486.0,openb_pod_list_gpuspec33.csv
openb-pod-5183,11300,49152,1,1000,,LS,Running,12024526,12024580,12024528.0,openb_pod_list_gpuspec33.csv
openb-pod-5184,11300,49152,1,1000,,LS,Running,12024851,12025115,12024884.0,openb_pod_list_gpuspec33.csv
openb-pod-5185,11300,49152,1,1000,,LS,Running,12024851,12025051,12024852.0,openb_pod_list_gpuspec33.csv
openb-pod-5186,11300,49152,1,1000,T4,LS,Running,12025325,12026914,12025327.0,openb_pod_list_gpuspec33.csv
openb-pod-5187,8000,30517,1,470,T4,BE,Pending,12025659,12026358,,openb_pod_list_gpuspec33.csv
openb-pod-5188,11300,49152,1,1000,G2,LS,Running,12026314,12026857,12026351.0,openb_pod_list_gpuspec33.csv
openb-pod-5189,32000,49152,0,0,,BE,Running,12026427,12026575,12026430.0,openb_pod_list_gpuspec33.csv
openb-pod-5190,8000,32768,1,1000,,LS,Running,12026564,12902960,12028484.0,openb_pod_list_gpuspec33.csv
openb-pod-5191,11300,49152,1,1000,V100M16,LS,Running,12026951,12029952,12026986.0,openb_pod_list_gpuspec33.csv
openb-pod-5192,11300,49152,1,1000,,LS,Running,12027059,12027487,12027091.0,openb_pod_list_gpuspec33.csv
openb-pod-5193,11300,49152,1,1000,T4,LS,Running,12027059,12027461,12027097.0,openb_pod_list_gpuspec33.csv
openb-pod-5194,11300,49152,1,1000,,LS,Running,12027062,12027237,12027097.0,openb_pod_list_gpuspec33.csv
openb-pod-5195,11300,49152,1,1000,,LS,Running,12027089,12027559,12027091.0,openb_pod_list_gpuspec33.csv
openb-pod-5196,11300,49152,1,1000,,LS,Running,12027526,12028332,12027529.0,openb_pod_list_gpuspec33.csv
openb-pod-5197,11300,49152,1,1000,,LS,Running,12027632,12028495,12027634.0,openb_pod_list_gpuspec33.csv
openb-pod-5198,120200,640000,8,1000,,LS,Failed,12028323,12032733,12028323.0,openb_pod_list_gpuspec33.csv
openb-pod-5199,11300,49152,1,1000,,LS,Running,12028917,12029202,12028952.0,openb_pod_list_gpuspec33.csv
openb-pod-5200,11300,49152,1,1000,,LS,Running,12029080,12029880,12029115.0,openb_pod_list_gpuspec33.csv
openb-pod-5201,8000,30517,1,470,,BE,Pending,12029554,12029643,,openb_pod_list_gpuspec33.csv
openb-pod-5202,11300,49152,1,1000,V100M16|V100M32,LS,Running,12030548,12031161,12030551.0,openb_pod_list_gpuspec33.csv
openb-pod-5203,11300,49152,1,1000,,LS,Running,12030556,12030838,12030558.0,openb_pod_list_gpuspec33.csv
openb-pod-5204,11300,49152,1,1000,,LS,Running,12030577,12030631,12030578.0,openb_pod_list_gpuspec33.csv
